"rownames","gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
1,"A","SERAHEP",82,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,1
2,NA,NA,73,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,2
3,NA,NA,72,23,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,3
4,NA,"BLENOCE",109,22,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,4
5,NA,"PAGEERY",105,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,5
6,NA,NA,143,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,6
7,NA,NA,116,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,7
8,NA,NA,72,172,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,8
9,NA,"CITHMAC",177,37,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,9
10,NA,"PECTJAC",70,53,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,10
11,NA,"URANSCA",191,116,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,11
12,NA,"MULLBAR",140,33,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,12
13,NA,NA,137,31,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,13
14,NA,NA,185,73,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,14
15,NA,NA,160,55,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,15
16,NA,NA,157,50,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,16
17,NA,NA,124,29,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,17
18,NA,"LEPTCAV",92,10,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,18
19,NA,"TRIPLAS",172,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,19
20,NA,NA,127,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,20
21,NA,NA,130,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,21
22,NA,NA,122,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,22
23,NA,NA,165,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,23
24,NA,NA,171,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,24
25,NA,NA,150,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,25
26,NA,NA,105,295,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,26
27,NA,"RAJACLA",570,1367,"M",1,NA,280,410,0,0,0,0,0,0,NA,NA,27
28,NA,"MICUVAR",122,23,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,28
29,NA,"SCORSCO",151,65,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,29
30,"D","PAGEERY",120,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,30
31,NA,NA,130,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,31
32,NA,NA,100,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,32
